#Compound	Isotopolog	m/z	Tolerance [mmu]	z
Molecular Average		153.05517	0.1	1
Molecular Average	D	154.06145	0.1	1
Molecular Average	D-D	155.06772	0.1	1
Molecular Average	D-D-D	156.07400	0.1	1
Molecular Average	D-D-D-D	157.08028	0.1	1
Molecular Average	D-D-D-D-D	158.08655	0.1	1
Molecular Average	17O	154.05939	0.1	1
Molecular Average	17O-D	155.06566	0.1	1
Molecular Average	17O-D-D	156.07194	0.1	1
Molecular Average	17O-D-D-D	157.07822	0.1	1
Molecular Average	17O-D-D-D-D	158.08449	0.1	1
Molecular Average	18O	155.05941	0.1	1
Molecular Average	18O-D	156.06569	0.1	1
Molecular Average	18O-D-D	157.07197	0.1	1
Molecular Average	18O-D-D-D	158.07824	0.1	1
Molecular Average	17O-17O	155.06360	0.1	1
Molecular Average	17O-17O-D	156.06988	0.1	1
Molecular Average	17O-17O-D-D	157.07616	0.1	1
Molecular Average	17O-17O-D-D-D	158.08243	0.1	1
Molecular Average	17O-18O	156.06363	0.1	1
Molecular Average	17O-18O-D	157.06991	0.1	1
Molecular Average	17O-18O-D-D	158.07618	0.1	1
Molecular Average	18O-18O	157.06366	0.1	1
Molecular Average	18O-18O-D	158.06994	0.1	1
Molecular Average	17O-17O-17O	156.06782	0.1	1
Molecular Average	17O-17O-17O-D	157.07410	0.1	1
Molecular Average	17O-17O-17O-D-D	158.08037	0.1	1
Molecular Average	17O-17O-18O	157.06785	0.1	1
Molecular Average	17O-17O-18O-D	158.07413	0.1	1
Molecular Average	17O-18O-18O	158.06788	0.1	1
Molecular Average	13C	154.05852	0.1	1
Molecular Average	13C-D	155.06480	0.1	1
Molecular Average	13C-D-D	156.07108	0.1	1
Molecular Average	13C-D-D-D	157.07735	0.1	1
Molecular Average	13C-D-D-D-D	158.08363	0.1	1
Molecular Average	13C-17O	155.06274	0.1	1
Molecular Average	13C-17O-D	156.06902	0.1	1
Molecular Average	13C-17O-D-D	157.07529	0.1	1
Molecular Average	13C-17O-D-D-D	158.08157	0.1	1
Molecular Average	13C-18O	156.06277	0.1	1
Molecular Average	13C-18O-D	157.06905	0.1	1
Molecular Average	13C-18O-D-D	158.07532	0.1	1
Molecular Average	13C-17O-17O	156.06696	0.1	1
Molecular Average	13C-17O-17O-D	157.07323	0.1	1
Molecular Average	13C-17O-17O-D-D	158.07951	0.1	1
Molecular Average	13C-17O-18O	157.06699	0.1	1
Molecular Average	13C-17O-18O-D	158.07326	0.1	1
Molecular Average	13C-18O-18O	158.06701	0.1	1
Molecular Average	13C-17O-17O-17O	157.07118	0.1	1
Molecular Average	13C-17O-17O-17O-D	158.07745	0.1	1
Molecular Average	13C-17O-17O-18O	158.07120	0.1	1
Molecular Average	13C-13C	155.06188	0.1	1
Molecular Average	13C-13C-D	156.06816	0.1	1
Molecular Average	13C-13C-D-D	157.07443	0.1	1
Molecular Average	13C-13C-D-D-D	158.08071	0.1	1
Molecular Average	13C-13C-17O	156.06610	0.1	1
Molecular Average	13C-13C-17O-D	157.07237	0.1	1
Molecular Average	13C-13C-17O-D-D	158.07865	0.1	1
Molecular Average	13C-13C-18O	157.06612	0.1	1
Molecular Average	13C-13C-18O-D	158.07240	0.1	1
Molecular Average	13C-13C-17O-17O	157.07031	0.1	1
Molecular Average	13C-13C-17O-17O-D	158.07659	0.1	1
Molecular Average	13C-13C-17O-18O	158.07034	0.1	1
Molecular Average	13C-13C-17O-17O-17O	158.07453	0.1	1
Molecular Average	13C-13C-13C	156.06523	0.1	1
Molecular Average	13C-13C-13C-D	157.07151	0.1	1
Molecular Average	13C-13C-13C-D-D	158.07779	0.1	1
Molecular Average	13C-13C-13C-17O	157.06945	0.1	1
Molecular Average	13C-13C-13C-17O-D	158.07573	0.1	1
Molecular Average	13C-13C-13C-18O	158.06948	0.1	1
Molecular Average	13C-13C-13C-17O-17O	158.07367	0.1	1
Molecular Average	13C-13C-13C-13C	157.06859	0.1	1
Molecular Average	13C-13C-13C-13C-D	158.07487	0.1	1
Molecular Average	13C-13C-13C-13C-17O	158.07281	0.1	1
Molecular Average	13C-13C-13C-13C-13C	158.07194	0.1	1
